campaign_id,total_impressions,total_clicks,total_spend,total_conversions,CTR,CPA
CMP035,13689287094,376229378,395618859.6399998,20399031,0.0275,19.39
CMP012,13679171528,375898116,395411777.6200001,20392719,0.0275,19.39
CMP010,13699272787,376409406,395739460.66000015,20412776,0.0275,19.39
CMP021,13687991449,375796619,395043344.40999925,20382306,0.0275,19.38
CMP011,13714973625,377330481,396309000.78000075,20463005,0.0275,19.37
CMP025,13688208851,375831578,395155969.80999947,20406444,0.0275,19.36
CMP038,13711890563,376608656,395835345.2399998,20441954,0.0275,19.36
CMP026,13652760288,375491308,394442607.57999957,20370126,0.0275,19.36
CMP014,13688374487,376224010,395539960.0300004,20428052,0.0275,19.36
CMP020,13693200005,376361243,395182595.7100002,20410663,0.0275,19.36
